"fecha","variable","valor usd oficial","porcentaje","total"
"2024-03-31","EG STOCK","1241060","93.137","1332510"
"2024-03-31","EG SUELDOS","0","0","1332510"
"2024-03-31","EG PASIVOS","65283.4","4.8993","1332510"
"2024-03-31","ITEC CAJA","28.4","0.0035","816894"
"2024-03-31","ITEC PASIVOS","31885.7","3.9033","816894"
"2024-03-31","EG COMPRAS","52850.1","3.9662","1332510"
"2024-04-30","EG CAJA","282.123","0.0203402","1387020"
"2024-04-30","EG TOTAL","1387020","100","1387020"
"2024-04-30","ITEC IMPUESTOS","0","0","782007"
"2024-04-30","ITEC PEDIDOS PENDIENTES","0","0","782007"
"2024-04-30","EG BANCO FUTURO","-4681.56","-0.337527","1387020"
"2024-04-30","EG DEUDAS FISCALES","2665.15","0.192149","1387020"
"2024-04-30","EG CAJA USD","41891.9","3.02028","1387020"
"2024-04-30","EG GASTOS","0","0","1387020"
"2024-04-30","ITEC VENTAS","45635.5","5.83569","782007"
"2024-04-30","ITEC STOCK","829952","106.131","782007"
"2024-04-30","ITEC DEUDAS FISCALES","2775.21","0.354883","782007"
"2024-04-30","ITEC GASTOS","0","0","782007"
"2024-04-30","ITEC CUENTAS","-47946.1","-6.13116","782007"
"2024-04-30","EG DEUDAS PROVEEDORES","64692.8","4.66416","1387020"
"2024-04-30","ITEC GASTOS INFRAESTRUCTURA","0","0","782007"
"2024-04-30","EG VENTAS","197429","14.234","1387020"
"2024-04-30","EG GASTOS INFRAESTRUCTURA","0","0","1387020"
"2024-04-30","EG SUELDOS","0","0","1387020"
"2024-04-30","EG PEDIDOS PENDIENTES","31823.7","2.29439","1387020"
"2024-04-30","EG DEUDAS CLIENTES","148879","10.7337","1387020"
"2024-04-30","ITEC CAJA","197.918","0.025309","782007"
"2024-04-30","EG PASIVOS","64692.8","4.66416","1387020"
"2024-04-30","ITEC COMPRAS","39732","5.08077","782007"
"2024-04-30","ITEC DEUDAS PROVEEDORES","65572.7","8.38518","782007"
"2024-04-30","EG STOCK","1233520","88.9331","1387020"
"2024-04-30","EG IMPUESTOS","0","0","1387020"
"2024-04-30","EG SERVICIOS","0","0","1387020"
"2024-04-30","EG ACTIVOS","1451710","104.664","1387020"
"2024-04-30","ITEC BANCO FUTURO","-6841.78","-0.8749","782007"
"2024-04-30","ITEC DEUDAS CLIENTES","13797.5","1.76437","782007"
"2024-04-30","ITEC CAJA USD","10473","1.33924","782007"
"2024-04-30","ITEC SUELDOS","0","0","782007"
"2024-04-30","EG CUENTAS","153502","11.0671","1387020"
"2024-04-30","EG COMPRAS","89135.6","6.42641","1387020"
"2024-04-30","ITEC SERVICIOS","0","0","782007"
